"Appendix 1. Gorzelak et al. 2024. Geochemical signatures and nanomechanical properties of echinoid tests from nearshore habitats of Florida: Environmental and physiological controls on echinoid biomineralization. PeerJ. Last updated October 24, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,decimal latitutde,decimal longitude,meters,year AD,month-numerical,day-numerical,per mile,per mile,per mile,per mile,per mile,per mile,decimal latitude,decimal longitude,degree C,degree C,degree C,degree C,degree C,cm,mmol/mol,umol/mol,mmol/mol,mmol/mol,mmol/mol,umol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
species,SpecID,Region,Station,Basin,Latitude,Longitude,Depth,Year,Month,Day,sal_mean,sal_med,sal_q25,sal_q75,sal_min,sal_max,noaa.lat,noaa.long,winter,spring,summer,fall,meanT,size,Cu,Pb,Zn,Mn,Sr,Cd,P,Mg,Ba,B,Na,S,Li
Encope michelini,ap-10.2,Northern Gulf,AP-10,Gulf of Mexico,29.76553,-84.54469,12.2,2019,8,14,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,12.4,0.0007,0.0594,0.0067,0.1916,2.5783,0.0851,0.1324,141.7251712,0.0098,0.5058,55.8307,10.6574,0.065
Mellita tenuis,ap-17.12,Northern Gulf,AP-17,Gulf of Mexico,29.83326,-84.52757,7.6,2020,9,10,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,11.64,0.0021,0.1187,0.0069,0.0846,2.5365,0.0122,0.5737,142.2875727,0.0068,0.4046,41.7392,10.2311,0.061
Encope michelini,ap-10.11,Northern Gulf,AP-10,Gulf of Mexico,29.76553,-84.54469,12.2,2019,8,14,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,13.64,0.009,0.2643,0.0133,0.1775,2.4155,0.0832,0.1294,136.2686963,0.0089,0.7906,42.2318,10.8288,0.0654
Encope aberrans,ap-15.2,Northern Gulf,AP-15,Gulf of Mexico,29.61218,-84.37015,20.7,2020,11,9,30.69084249,31,28.9,32.7,23.5,37.2,29.55,-84.55,18.261,22.31,31.213,23.694,23.8695,12.57,0.0014,0.0968,0.0029,0.1411,2.4092,0.0595,0.1726,138.055117,0.0093,0.8779,44.4837,11.6735,0.0655
Encope michelini,ap-10.7,Northern Gulf,AP-10,Gulf of Mexico,29.76553,-84.54469,12.2,2019,8,14,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,13.2,0.0046,0.1519,0.0073,0.122,2.3404,0.1582,0.2209,137.9294893,0.0088,0.4936,49.817,10.2416,0.0631
Mellita tenuis,ap-17.16,Northern Gulf,AP-17,Gulf of Mexico,29.83326,-84.52757,7.6,2020,9,10,31.30769231,31,30.7,31.4,29,34,29.75,-84.65,18.187,23.446,30.438,23.71,23.94525,10.6,0.015,0.2924,0.0216,0.0945,2.5627,0.0257,1.1179,148.3946291,0.0077,0.427,49.0106,9.8984,0.0624
Mellita tenuis,CK-5-1,Cedar Key,CK-5,Gulf of Mexico,28.9946,-83.14239,4,2022,9,22,28.27878788,28.65,26.225,30.6,16.3,37.7,28.75,-83.25,18.4,27.761,28.81,23.178,24.53725,8.32,0.0069,0.0733,0.0053,0.0415,2.2505,0.0676,0.1401,110.7344591,0.0104,0.3313,24.5468,7.1075,0.0485
Mellita tenuis,CK-5-2,Cedar Key,CK-5,Gulf of Mexico,28.9946,-83.14239,4,2022,9,22,28.27878788,28.65,26.225,30.6,16.3,37.7,28.75,-83.25,18.4,27.761,28.81,23.178,24.53725,8.82,0.001,0.0838,0.0056,0.0316,2.2092,0.0289,0.1401,113.7983993,0.0087,0.2709,30.431,7.1036,0.0484
Mellita tenuis,CK-5-3,Cedar Key,CK-5,Gulf of Mexico,28.9946,-83.14239,4,2022,9,22,28.27878788,28.65,26.225,30.6,16.3,37.7,28.75,-83.25,18.4,27.761,28.81,23.178,24.53725,9.2,0.0007,0.0428,0.0048,0.0283,2.1654,0.0592,0.1791,109.9915942,0.0086,0.3078,29.4812,7.2648,0.0511
Mellita tenuis,CK-6-1,Cedar Key,CK-6,Gulf of Mexico,29.065571,-83.065571,0.9,2022,9,22,28.27878788,28.65,26.225,30.6,16.3,37.7,28.75,-83.25,18.4,27.761,28.81,21.01,23.99525,10.56,0.0008,0.0422,0.0048,0.0279,2.0712,0.0584,0.1412,109.7508219,0.0156,0.3944,30.8144,7.8417,0.0473
